event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp,population_1km,population_2km,population_5km,population_best
IRN35984,2026-03-04,2026,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of the United States (2025-),Military Forces of Israel (2022-),8,Military Forces of Iran (1989-) Islamic Revolutionary Guard Corps,,1,18,,364,Middle East,Iran,Isfahan,Najafabad,Central,Najafabad,32.6344,51.3668,2,Mamlekate,New media,"On 4 March 2026, Israeli forces targeted an IRGC garrison in the area of Najafabad (Najafabad, Isfahan) (coded as air/drone strikes by default). US forces were excluded as actors in this event because the reported location falls outside the declared US strike zones at the time of reporting. Israel and the United States launched a joint operation codenamed 'Roaring Lion' by Israel and 'Epic Fury' by the United States on 28 February 2026. Casualties unknown.",0,US-Iran regional conflict,1773059279,,,,
IRN35985,2026-03-04,2026,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,,,0,80,,364,Middle East,Iran,Mazandaran,Chalus,Central,Chalus,36.6550,51.4204,1,Mamlekate,New media,"On 4 March 2026, Israeli forces targeted an unspecified target in Chalus (Chalus, Mazandaran) (coded as air/drone strikes by default). US forces were excluded as actors in this event because the reported location falls outside the declared US strike zones at the time of reporting. Israel and the United States launched a joint operation codenamed 'Roaring Lion' by Israel and 'Epic Fury' by the United States on 28 February 2026. Casualties unknown.",0,US-Iran regional conflict,1773059279,,,,
IRN35988,2026-03-04,2026,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,,,0,80,,364,Middle East,Iran,Tehran,Tehran,,Tehran,35.6944,51.4215,2,Mamlekate,New media,"On 4 March 2026, Israeli forces (coded as air/drone strikes by default) struck unspecified targets west of Tehran (Tehran, Tehran). Israel and the United States launched this joint operation, codenamed 'Roaring Lion' by Israel and 'Epic Fury' by the United States Department of Defense on 28 February 2026. US forces were excluded as actors in this event because the reported location falls outside the declared US strike zones at the time of reporting. Casualties unknown.",0,US-Iran regional conflict,1773059279,,,,
IRN35989,2026-03-04,2026,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,,,0,80,,364,Middle East,Iran,Mazandaran,Noshahr,Central,Nowshahr,36.6485,51.4962,1,Mamlekate,New media,"On 4 March 2026, Israeli forces (coded as air/drone strikes by default) struck unspecified targets in Nowshahr (Noshahr, Mazandaran). US forces were excluded as actors in this event because the reported location falls outside the declared US strike zones at the time of reporting. Israel and the United States launched this joint operation, codenamed 'Roaring Lion' by Israel and 'Epic Fury' by the United States Department of Defense on 28 February 2026. Casualties unknown.",0,US-Iran regional conflict,1773059279,,,,
IRN35990,2026-03-04,2026,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,,,0,80,,364,Middle East,Iran,Mazandaran,Kelardasht,Kalardasht,Kalardasht,36.5109,51.1734,2,Mamlekate,New media,"On 4 March 2026, Israeli forces (coded as air/drone strikes by default) struck unspecified targets in the area of Kalardasht (Kalardasht, Mazandaran). US forces were excluded as actors in this event because the reported location falls outside the declared US strike zones at the time of reporting. Israel and the United States launched this joint operation, codenamed 'Roaring Lion' by Israel and 'Epic Fury' by the United States Department of Defense on 28 February 2026. Casualties unknown.",0,US-Iran regional conflict,1773059279,,,,
IRN35991,2026-03-04,2026,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,,,0,80,,364,Middle East,Iran,Mazandaran,Tonekabon,Central,Tonekabon,36.8163,50.8738,2,Mamlekate,New media,"On 4 March 2026, Israeli forces (coded as air/drone strikes by default) struck unspecified targets in the area of Tonekabon (Tonekabon, Mazandaran). US forces were excluded as actors in this event because the reported location falls outside the declared US strike zones at the time of reporting. Israel and the United States launched this joint operation, codenamed 'Roaring Lion' by Israel and 'Epic Fury' by the United States Department of Defense on 28 February 2026. Casualties unknown.",0,US-Iran regional conflict,1773059279,,,,
IRN35992,2026-03-04,2026,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,,,0,80,,364,Middle East,Iran,Mazandaran,Amol,Chamestan,Chamestan,36.4633,52.2833,2,Mamlekate,New media,"On 4 March 2026, Israeli forces (coded as air/drone strikes by default) struck unspecified targets in the area north of Chamestan (Amol, Mazandaran). US forces were excluded as actors in this event because the reported location falls outside the declared US strike zones at the time of reporting. Israel and the United States launched this joint operation, codenamed 'Roaring Lion' by Israel and 'Epic Fury' by the United States Department of Defense on 28 February 2026. Casualties unknown.",0,US-Iran regional conflict,1773059279,,,,
IRN35993,2026-03-04,2026,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,,,0,80,,364,Middle East,Iran,Tehran,Islamshahr,Eslamshahr,Eslamshahr,35.5522,51.2350,1,Mamlekate,New media,"On 4 March 2026, Israeli forces (coded as air/drone strikes by default) struck unspecified targets in Eslamshahr (Islamshahr, Tehran). Israel and the United States launched this joint operation, codenamed 'Roaring Lion' by Israel and 'Epic Fury' by the United States Department of Defense on 28 February 2026. US forces were excluded as actors in this event because the reported location falls outside the declared US strike zones at the time of reporting. Casualties unknown.",0,US-Iran regional conflict,1773059279,,,,
IRN35994,2026-03-04,2026,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Military Forces of Iran (1989-) Islamic Republic of Iran Air Force,,1,18,,364,Middle East,Iran,Tehran,Tehran,Central,Tehran - District 9,35.6843,51.3270,1,Iran International; Mamlekate,New media-International,"On 4 March 2026, Israeli forces (coded as air/drone strikes by default) struck Iranian air force tankers and destroyed the defense and reconnaissance systems at the Mehrabad airport in Tehran - District 9 (Tehran, Tehran). Israel and the United States launched this joint operation, codenamed 'Roaring Lion' by Israel and 'Epic Fury' by the United States Department of Defense on 28 February 2026. US forces were excluded as actors in this event because the reported location falls outside the declared US strike zones at the time of reporting. Casualties unknown.",0,US-Iran regional conflict,1773059279,,,,
IRN35995,2026-03-04,2026,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,,,0,80,,364,Middle East,Iran,Tehran,Damavand,Central,Damavand,35.7184,52.0696,1,Mamlekate,New media,"On 4 March 2026, Israeli forces (coded as air/drone strikes by default) struck unspecified targets in Damavand (Damavand, Tehran). Israel and the United States launched this joint operation, codenamed 'Roaring Lion' by Israel and 'Epic Fury' by the United States Department of Defense on 28 February 2026. US forces were excluded as actors in this event because the reported location falls outside the declared US strike zones at the time of reporting. Casualties unknown.",0,US-Iran regional conflict,1773059279,,,,
IRN35996,2026-03-04,2026,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Military Forces of Iran (1989-) Islamic Revolutionary Guard Corps,,1,18,,364,Middle East,Iran,Qom,Qom,Central,Qom,34.6401,50.8764,2,Mamlekate,New media,"On 4 March 2026, Israeli forces (coded as air/drone strikes by default) struck a reported IRGC base in the area of Qom (Qom, Qom). Israel and the United States launched this joint operation, codenamed 'Roaring Lion' by Israel and 'Epic Fury' by the United States Department of Defense on 28 February 2026. Casualties unknown. US forces were excluded as actors in this event because the reported location falls outside the declared US strike zones at the time of reporting.",0,US-Iran regional conflict,1773059279,,,,
IRN35997,2026-03-04,2026,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Police Forces of Iran (1989-) Ministry of Intelligence,,1,18,,364,Middle East,Iran,Kurdistan,Marivan,Central,Marivan,35.5183,46.1830,2,Mamlekate,New media,"On 4 March 2026, Israeli forces (coded as air/drone strikes by default) struck a reported Iranian Ministry of Intelligence base in the area of Marivan (Marivan, Kurdistan). US forces were excluded as actors in this event because the reported location falls outside the declared US strike zones at the time of reporting. Israel and the United States launched a joint operation codenamed 'Roaring Lion' by Israel and 'Epic Fury' by the United States on 28 February 2026. Casualties unknown.",0,US-Iran regional conflict,1773059279,,,,
